# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 1
60 0 1
70 0 1
80 0 1
90 2 1
100 2 1
110 2 3
120 2 3
130 2 3
140 2 3
150 2 4
160 2 5
170 2 7
180 2 7
190 2 7
200 2 7
210 2 7
220 2 7
230 2 7
240 2 7
250 2 7
260 2 7
270 3 8
280 3 11
290 3 11
300 4 12
310 4 12
320 4 15
330 4 17
340 5 18
350 5 18
360 5 19
370 5 19
380 5 19
390 5 19
400 5 19
410 5 20
420 5 20
430 5 20
440 5 20
450 5 20
460 5 20
470 5 20
480 5 20
490 5 20
500 5 20
510 5 20
520 5 20
530 5 20
540 5 21
550 5 23
560 5 24
570 5 24
580 5 24
590 5 25
600 5 26
610 5 26
620 5 29
630 5 29
640 5 29
650 5 29
660 5 30
670 5 30
680 5 30
690 5 30
700 5 30
710 5 31
720 5 31
730 5 32
740 5 34
750 5 37
760 5 38
770 5 40
780 5 40
790 5 40
800 5 41
810 5 42
820 5 42
830 5 45
840 5 46
850 5 46
860 5 47
870 5 48
880 5 48
890 5 48
900 5 48
910 5 48
920 5 49
930 5 49
940 5 50
950 5 51
960 5 51
970 5 51
980 5 51
990 5 51
1000 5 52
