# step Etot Epot T p 
0 2012031558.4295 2012031558.4295 0.0 99999999999.9999 
1 34333582.7304 34333582.7304 0.0 4342214981.4237 
2 2413740.9079 2413740.9079 0.0 331042197.2795 
3 326355.5818 326355.5818 0.0 38910941.6551 
4 68661.177 68661.177 0.0 6621065.6921 
5 23653.2732 23653.2732 0.0 1689163.4611 
6 13562.1439 13562.1439 0.0 703885.9391 
7 10901.0951 10901.0951 0.0 462811.2676 
8 10113.0598 10113.0598 0.0 396458.9746 
9 4593.6823 4593.6823 0.0 241224.2657 
10 1949.2497 1949.2497 0.0 154050.7452 
11 587.275 587.275 0.0 112347.7125 
12 -283.8059 -283.8059 0.0 90041.1731 
13 -887.6836 -887.6836 0.0 73912.1172 
14 -1289.3619 -1289.3619 0.0 62217.0516 
15 -1682.3089 -1682.3089 0.0 56207.3101 
16 -1904.4075 -1904.4075 0.0 52259.9872 
17 -2001.8089 -2001.8089 0.0 49697.6725 
18 -1978.8436 -1978.8436 0.0 48366.9016 
19 -2008.0194 -2008.0194 0.0 49147.0349 
20 -2007.792 -2007.792 0.0 44807.0144 
21 -2008.0228 -2008.0228 0.0 44855.4101 
22 -2237.1593 -2237.1593 0.0 40053.1345 
23 -2362.3069 -2362.3069 0.0 37291.8681 
24 -2426.1668 -2426.1668 0.0 35737.8163 
25 -2436.4761 -2436.4761 0.0 35092.2136 
26 -2386.2041 -2386.2041 0.0 35305.908 
27 -2439.2008 -2439.2008 0.0 35205.3525 
28 -2439.188 -2439.188 0.0 35190.2044 
29 -2439.2031 -2439.2031 0.0 35201.1586 
30 -2611.0955 -2611.0955 0.0 33378.8451 
31 -2703.9452 -2703.9452 0.0 32505.4671 
32 -2753.5315 -2753.5315 0.0 32162.5297 
33 -2763.6493 -2763.6493 0.0 32312.1687 
34 -2723.4149 -2723.4149 0.0 33093.3591 
35 -2765.1887 -2765.1887 0.0 32217.3556 
36 -2765.1896 -2765.1896 0.0 32224.8935 
37 -2944.1284 -2944.1284 0.0 29015.8437 
