ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0       481.2932       111.9392         0.0000         0.0000          -5016.3445 2012035981.5416         0.0000         0.0000         0.0000      2012031558.4295         0.0000 2012031558.4295 2012031558.4295         0.0000      99999999999.9999 99999999999.9999     23823.1240 99999999999.9999 99999999999.9999
ENERGY:       1       481.2932       111.9392         0.0000         0.0000          -4908.2213  34337897.7193         0.0000         0.0000         0.0000       34333582.7304         0.0000  34333582.7304  34333582.7304         0.0000      4342214981.4237 4848799890.9947     23823.1240 4342214981.4237 4848799890.9947
ENERGY:       2       481.2932       111.9392         0.0000         0.0000          -4897.0797   2418044.7551         0.0000         0.0000         0.0000        2413740.9079         0.0000   2413740.9079   2413740.9079         0.0000      331042197.2795 367116280.2191     23823.1240 331042197.2795 367116280.2191
ENERGY:       3       481.2932       111.9392         0.0000         0.0000          -4910.9766    330673.3259         0.0000         0.0000         0.0000         326355.5818         0.0000    326355.5818    326355.5818         0.0000       38910941.6551  42940858.4316     23823.1240  38910941.6551  42940858.4316
ENERGY:       4       481.2932       111.9392         0.0000         0.0000          -4917.9164     72985.8610         0.0000         0.0000         0.0000          68661.1770         0.0000     68661.1770     68661.1770         0.0000        6621065.6921   7238688.6159     23823.1240   6621065.6921   7238688.6159
ENERGY:       5       481.2932       111.9392         0.0000         0.0000          -4918.2836     27978.3244         0.0000         0.0000         0.0000          23653.2732         0.0000     23653.2732     23653.2732         0.0000        1689163.4611   1812123.3491     23823.1240   1689163.4611   1812123.3491
ENERGY:       6       481.2932       111.9392         0.0000         0.0000          -4917.1159     17886.0274         0.0000         0.0000         0.0000          13562.1439         0.0000     13562.1439     13562.1439         0.0000         703885.9391    737358.0638     23823.1240    703885.9391    737358.0638
ENERGY:       7       481.2932       111.9392         0.0000         0.0000          -4916.8728     15224.7355         0.0000         0.0000         0.0000          10901.0951         0.0000     10901.0951     10901.0951         0.0000         462811.2676    477000.0010     23823.1240    462811.2676    477000.0010
ENERGY:       8       486.1813       111.9088         0.0000         0.0000          -4915.2823     14430.2520         0.0000         0.0000         0.0000          10113.0598         0.0000     10113.0598     10113.0598         0.0000         396458.9746    405188.5478     23823.1240    396458.9746    405188.5478
ENERGY:       9       443.0904       109.8495         0.0000         0.0000          -4943.4222      8984.1646         0.0000         0.0000         0.0000           4593.6823         0.0000      4593.6823      4593.6823         0.0000         241224.2657    241013.5924     23823.1240    241224.2657    241013.5924
ENERGY:      10       405.6650       109.4340         0.0000         0.0000          -4967.6680      6401.8186         0.0000         0.0000         0.0000           1949.2497         0.0000      1949.2497      1949.2497         0.0000         154050.7452    150744.0350     23823.1240    154050.7452    150744.0350
ENERGY:      11       373.5005       110.7558         0.0000         0.0000          -4990.3344      5093.3532         0.0000         0.0000         0.0000            587.2750         0.0000       587.2750       587.2750         0.0000         112347.7125    108362.1057     23823.1240    112347.7125    108362.1057
ENERGY:      12       308.4994       105.5065         0.0000         0.0000          -5008.8872      4311.0754         0.0000         0.0000         0.0000           -283.8059         0.0000      -283.8059      -283.8059         0.0000          90041.1731     83859.1800     23823.1240     90041.1731     83859.1800
ENERGY:      13       277.3023       104.4105         0.0000         0.0000          -5027.8946      3758.4982         0.0000         0.0000         0.0000           -887.6836         0.0000      -887.6836      -887.6836         0.0000          73912.1172     66537.3835     23823.1240     73912.1172     66537.3835
ENERGY:      14       279.7260       107.4835         0.0000         0.0000          -5047.0669      3370.4955         0.0000         0.0000         0.0000          -1289.3619         0.0000     -1289.3619     -1289.3619         0.0000          62217.0516     54156.0936     23823.1240     62217.0516     54156.0936
ENERGY:      15       247.8492       108.5587         0.0000         0.0000          -5071.8179      3033.1011         0.0000         0.0000         0.0000          -1682.3089         0.0000     -1682.3089     -1682.3089         0.0000          56207.3101     47498.3507     23823.1240     56207.3101     47498.3507
ENERGY:      16       251.3673       113.9599         0.0000         0.0000          -5097.2492      2827.5144         0.0000         0.0000         0.0000          -1904.4075         0.0000     -1904.4075     -1904.4075         0.0000          52259.9872     43323.8298     23823.1240     52259.9872     43323.8298
ENERGY:      17       289.4170       123.8819         0.0000         0.0000          -5122.9865      2707.8787         0.0000         0.0000         0.0000          -2001.8089         0.0000     -2001.8089     -2001.8089         0.0000          49697.6725     40955.0079     23823.1240     49697.6725     40955.0079
ENERGY:      18       361.1006       138.5035         0.0000         0.0000          -5148.7284      2670.2807         0.0000         0.0000         0.0000          -1978.8436         0.0000     -1978.8436     -1978.8436         0.0000          48366.9016     40432.3192     23823.1240     48366.9016     40432.3192
ENERGY:      19       308.3060       127.9506         0.0000         0.0000          -5131.0637      2686.7878         0.0000         0.0000         0.0000          -2008.0194         0.0000     -2008.0194     -2008.0194         0.0000          49147.0349     40577.7205     23823.1240     49147.0349     40577.7205
ENERGY:      20       312.8829       128.9042         0.0000         0.0000          -5132.8331      2683.2540         0.0000         0.0000         0.0000          -2007.7920         0.0000     -2007.7920     -2007.7920         0.0000          44807.0144     35892.7979     23823.1240     44807.0144     35892.7979
ENERGY:      21       308.7858       128.0511         0.0000         0.0000          -5131.2522      2686.3926         0.0000         0.0000         0.0000          -2008.0228         0.0000     -2008.0228     -2008.0228         0.0000          44855.4101     35912.0449     23823.1240     44855.4101     35912.0449
ENERGY:      22       268.5273       126.3699         0.0000         0.0000          -5141.6033      2509.5469         0.0000         0.0000         0.0000          -2237.1593         0.0000     -2237.1593     -2237.1593         0.0000          40053.1345     30333.9538     23823.1240     40053.1345     30333.9538
ENERGY:      23       235.9768       125.3956         0.0000         0.0000          -5154.2437      2430.5644         0.0000         0.0000         0.0000          -2362.3069         0.0000     -2362.3069     -2362.3069         0.0000          37291.8681     27290.2384     23823.1240     37291.8681     27290.2384
ENERGY:      24       211.1663       125.1315         0.0000         0.0000          -5168.6938      2406.2291         0.0000         0.0000         0.0000          -2426.1668         0.0000     -2426.1668     -2426.1668         0.0000          35737.8163     25633.6046     23823.1240     35737.8163     25633.6046
ENERGY:      25       194.1260       125.5813         0.0000         0.0000          -5184.6458      2428.4624         0.0000         0.0000         0.0000          -2436.4761         0.0000     -2436.4761     -2436.4761         0.0000          35092.2136     25002.7687     23823.1240     35092.2136     25002.7687
