# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 2
10 0 3
11 0 5
12 0 7
13 0 10
14 0 12
15 0 14
16 0 19
17 0 21
18 0 23
19 0 25
20 0 27
21 0 29
22 0 30
23 0 33
24 0 36
25 0 38
26 0 41
27 0 43
28 0 45
29 0 48
30 0 54
31 0 56
32 0 59
33 0 64
34 0 65
35 0 68
36 0 68
37 0 70
38 0 73
39 0 76
40 0 78
41 0 81
42 0 85
43 0 88
44 0 89
45 0 91
46 0 95
47 0 97
48 0 100
49 0 102
50 0 104
51 0 109
52 0 110
53 0 110
54 0 115
55 0 115
56 0 118
57 0 121
58 0 123
59 0 127
60 0 130
61 0 131
62 0 133
63 0 135
64 0 138
65 0 141
66 0 144
67 0 147
68 0 150
69 0 153
70 0 155
71 0 156
72 0 158
73 0 159
74 0 162
75 0 163
76 0 165
77 0 168
78 0 170
79 0 172
80 0 172
81 0 177
82 0 178
83 0 181
84 0 182
85 0 183
86 0 186
87 0 187
88 0 190
89 0 192
90 0 193
91 0 194
92 0 198
93 0 201
94 0 204
95 0 208
96 0 211
97 0 213
98 0 218
99 0 221
100 0 221
101 0 223
102 0 224
103 0 225
104 0 229
105 0 230
106 0 233
107 0 236
108 0 239
109 0 241
110 0 244
111 0 248
112 0 250
113 0 253
114 0 255
115 0 256
116 0 258
117 0 261
118 0 263
119 0 266
120 0 268
121 0 273
122 0 277
123 0 277
124 0 279
125 0 284
126 0 286
127 0 287
128 0 292
129 0 294
130 0 296
131 0 298
132 0 301
133 0 301
134 0 302
135 0 305
136 0 307
137 0 308
138 0 312
139 0 314
140 0 316
141 0 317
142 0 321
143 0 322
144 0 326
145 0 329
146 0 331
147 0 334
148 0 335
149 0 336
150 0 337
151 0 340
152 0 344
153 0 347
154 0 351
155 0 353
156 0 355
157 0 358
158 0 360
159 0 363
160 0 364
161 0 366
162 0 368
163 0 370
164 0 374
165 0 377
166 0 379
167 0 382
168 0 384
169 0 388
170 0 390
171 0 392
172 0 394
173 0 397
174 0 399
175 0 403
176 0 406
177 0 408
178 0 410
179 0 411
180 0 413
181 0 416
182 0 417
183 0 420
184 0 423
185 0 424
186 0 427
187 0 429
188 0 432
189 0 434
190 0 436
191 0 438
192 0 441
193 0 446
194 0 448
195 0 450
196 0 453
197 0 455
198 0 458
199 0 460
200 0 461
